0.25	95.82561
0.5	95.82622
0.75	95.82668
1	95.82711
1.013168	87.47483
1.052674	81.04527
1.118517	76.74915
1.210696	73.40847
1.329213	70.65211
1.474066	68.40203
1.645257	66.59153
1.842784	65.12836
2.066649	63.91861
2.31685	62.88576
2.593389	61.97567
2.896265	61.15379
3.225477	60.39965
3.581027	59.70196
3.962913	59.0549
4.371137	58.45565
4.805697	57.90281
5.266595	57.3955
5.753829	56.93279
6.267401	56.51374
6.80731	56.13638
7.373556	55.79874
7.966138	55.4986
8.585058	55.23341
9.230314	55.00038
9.901908	54.79674
