32,26,32x26,14.256,27.17,387.3355
40,28,40x28,14.64,28.262,413.7557
64,16,64x16,15.792,21.71,342.8443
256,14,256x14,18.096,28.262,511.4292
64,40,64x40,15.792,34.814,549.7827
136,32,136x32,19.248,30.446,586.0246
256,26,256x26,25.008,27.17,679.4674
256,32,256x32,25.008,30.446,761.3936
208,48,208x48,22.704,39.182,889.5881
216,48,216x48,23.088,39.182,904.634
512,26,512x26,24.24,41.366,1002.7118
32,144,32x144,14.256,94.354,1345.1106
64,138,64x138,15.792,91.078,1438.3038
64,72,64x72,15.792,52.286,825.7005
64,78,64x78,15.792,56.472,891.8058
288,28,288x28,26.544,28.262,750.1865
32,88,32x88,14.256,61.932,882.9026
128,78,128x78,18.864,56.472,1065.2878
640,21,640x21,27.312,35.906,980.6647
256,66,256x66,25.008,49.01,1225.6421
288,48,288x48,26.544,39.182,1040.047
256,138,256x138,25.008,91.078,2277.6786
256,72,256x72,25.008,52.286,1307.5683
424,22,424x22,33.072,24.986,826.337
1024,14,1024x14,63.6,20.618,1311.3048
512,32,512x32,37.296,30.446,1135.514
512,40,512x40,37.296,34.814,1298.4229
576,52,576x52,43.536,41.366,1800.9102
576,60,576x60,43.536,45.734,1991.0754
368,117,368x117,20.784,145.314,3020.2062
272,200,272x200,25.776,126.75,3267.108
512,130,512x130,37.296,86.71,3233.9362
384,88,384x88,31.152,61.932,1929.3057
1536,32,1536x32,51.984,47.918,2490.9693
768,64,768x64,52.752,47.918,2527.7703
656,117,656x117,27.696,145.314,4024.6165
1152,88,1152x88,42.768,113.646,4860.4121
1152,48,1152x48,42.768,66.3,2835.5184
456,192,456x192,34.608,122.382,4235.3963
512,88,512x88,37.296,61.932,2309.8159
1152,55,1152x55,42.768,73.944,3162.437
416,238,416x238,32.688,147.498,4821.4146
1024,72,1024x72,65.04,52.286,3400.6814
1024,164,1024x164,65.04,107.094,6965.3938
2048,97,2048x97,64.272,123.474,7935.9209
