# ChannelName TxCell TxInst TxCDC RxCell RxInst RxCDC
INGRESS_SUB[19]  chip.rrc.fabric.ingress.INGRESS.1000 ingress nil chip__rrc__fabric__array__ARRAY_SUBSEG__1000 subseg[2][3] u_cdc_in
INGRESS_SUB[20]  chip.rrc.fabric.ingress.INGRESS.1000 ingress nil chip__rrc__fabric__array__ARRAY_SUBSEG__1000 subseg[2][4] u_cdc_in
INGRESS_SUB[21]  chip.rrc.fabric.ingress.INGRESS.1000 ingress nil chip__rrc__fabric__array__ARRAY_SUBSEG__1000 subseg[2][5] u_cdc_in
INGRESS_SUB[22]  chip.rrc.fabric.ingress.INGRESS.1000 ingress nil chip__rrc__fabric__array__ARRAY_SUBSEG__1000 subseg[2][6] u_cdc_in
INGRESS_SUB[23]  chip.rrc.fabric.ingress.INGRESS.1000 ingress nil chip__rrc__fabric__array__ARRAY_SUBSEG__1000 subseg[2][7] u_cdc_in

ARRAY_SUB[0]   chip__rrc__fabric__array__ARRAY_SUBSEG__1000 subseg[0][0] u_cdc_out chip__rrc__fabric__modify__mod_sync__MOD_SYNC__1000 modify gen_array_sub[0]_u_a2s_hs_v_66_array_sub
ARRAY_SUB[1]   chip__rrc__fabric__array__ARRAY_SUBSEG__1000 subseg[0][1] u_cdc_out chip__rrc__fabric__modify__mod_sync__MOD_SYNC__1000 modify gen_array_sub[1]_u_a2s_hs_v_66_array_sub
ARRAY_SUB[2]   chip__rrc__fabric__array__ARRAY_SUBSEG__1000 subseg[0][2] u_cdc_out chip__rrc__fabric__modify__mod_sync__MOD_SYNC__1000 modify gen_array_sub[2]_u_a2s_hs_v_66_array_sub
ARRAY_SUB[3]   chip__rrc__fabric__array__ARRAY_SUBSEG__1000 subseg[0][3] u_cdc_out chip__rrc__fabric__modify__mod_sync__MOD_SYNC__1000 modify gen_array_sub[3]_u_a2s_hs_v_66_array_sub
ARRAY_SUB[4]   chip__rrc__fabric__array__ARRAY_SUBSEG__1000 subseg[0][4] u_cdc_out chip__rrc__fabric__modify__mod_sync__MOD_SYNC__1000 modify gen_array_sub[4]_u_a2s_hs_v_66_array_sub
ARRAY_SUB[5]   chip__rrc__fabric__array__ARRAY_SUBSEG__1000 subseg[0][5] u_cdc_out chip__rrc__fabric__modify__mod_sync__MOD_SYNC__1000 modify gen_array_sub[5]_u_a2s_hs_v_66_array_sub
ARRAY_SUB[6]   chip__rrc__fabric__array__ARRAY_SUBSEG__1000 subseg[0][6] u_cdc_out chip.rrc.fabric.egress.EGRESS.1000 egress nil
ARRAY_SUB[7]   chip__rrc__fabric__array__ARRAY_SUBSEG__1000 subseg[0][7] u_cdc_out chip.rrc.fabric.egress.EGRESS.1000 egress nil
ARRAY_SUB[8]   chip__rrc__fabric__array__ARRAY_SUBSEG__1000 subseg[1][0] u_cdc_out chip.rrc.fabric.egress.EGRESS.1000 egress nil
ARRAY_SUB[9]   chip__rrc__fabric__array__ARRAY_SUBSEG__1000 subseg[1][1] u_cdc_out chip.rrc.fabric.egress.EGRESS.1000 egress nil
ARRAY_SUB[10]  chip__rrc__fabric__array__ARRAY_SUBSEG__1000 subseg[1][2] u_cdc_out chip.rrc.fabric.egress.EGRESS.1000 egress nil
ARRAY_SUB[11]  chip__rrc__fabric__array__ARRAY_SUBSEG__1000 subseg[1][3] u_cdc_out chip.rrc.fabric.egress.EGRESS.1000 egress nil
ARRAY_SUB[12]  chip__rrc__fabric__array__ARRAY_SUBSEG__1000 subseg[1][4] u_cdc_out chip.rrc.fabric.egress.EGRESS.1000 egress nil
ARRAY_SUB[13]  chip__rrc__fabric__array__ARRAY_SUBSEG__1000 subseg[1][5] u_cdc_out chip.rrc.fabric.egress.EGRESS.1000 egress nil
ARRAY_SUB[14]  chip__rrc__fabric__array__ARRAY_SUBSEG__1000 subseg[1][6] u_cdc_out chip.rrc.fabric.egress.EGRESS.1000 egress nil
ARRAY_SUB[15]  chip__rrc__fabric__array__ARRAY_SUBSEG__1000 subseg[1][7] u_cdc_out chip.rrc.fabric.egress.EGRESS.1000 egress nil
ARRAY_SUB[16]  chip__rrc__fabric__array__ARRAY_SUBSEG__1000 subseg[2][0] u_cdc_out chip.rrc.fabric.egress.EGRESS.1000 egress nil
ARRAY_SUB[17]  chip__rrc__fabric__array__ARRAY_SUBSEG__1000 subseg[2][1] u_cdc_out chip.rrc.fabric.egress.EGRESS.1000 egress nil
ARRAY_SUB[18]  chip__rrc__fabric__array__ARRAY_SUBSEG__1000 subseg[2][2] u_cdc_out chip.rrc.fabric.egress.EGRESS.1000 egress nil
ARRAY_SUB[19]  chip__rrc__fabric__array__ARRAY_SUBSEG__1000 subseg[2][3] u_cdc_out chip.rrc.fabric.egress.EGRESS.1000 egress nil
ARRAY_SUB[20]  chip__rrc__fabric__array__ARRAY_SUBSEG__1000 subseg[2][4] u_cdc_out chip.rrc.fabric.egress.EGRESS.1000 egress nil
ARRAY_SUB[21]  chip__rrc__fabric__array__ARRAY_SUBSEG__1000 subseg[2][5] u_cdc_out chip.rrc.fabric.egress.EGRESS.1000 egress nil
ARRAY_SUB[22]  chip__rrc__fabric__array__ARRAY_SUBSEG__1000 subseg[2][6] u_cdc_out chip.rrc.fabric.egress.EGRESS.1000 egress nil
ARRAY_SUB[23]  chip__rrc__fabric__array__ARRAY_SUBSEG__1000 subseg[2][7] u_cdc_out chip.rrc.fabric.egress.EGRESS.1000 egress nil

EGRESS_SUB[0]  chip__rrc__fabric__modify__mod_sync__MOD_SYNC__1000 modify gen_egress_sub[0]_u_s2a_hs_h_76_egress_sub chip.rrc.fabric.egress.EGRESS.1000 egress nil
EGRESS_SUB[1]  chip__rrc__fabric__modify__mod_sync__MOD_SYNC__1000 modify gen_egress_sub[1]_u_s2a_hs_h_76_egress_sub chip.rrc.fabric.egress.EGRESS.1000 egress nil
EGRESS_SUB[2]  chip__rrc__fabric__modify__mod_sync__MOD_SYNC__1000 modify gen_egress_sub[2]_u_s2a_hs_h_76_egress_sub chip.rrc.fabric.egress.EGRESS.1000 egress nil
EGRESS_SUB[3]  chip__rrc__fabric__modify__mod_sync__MOD_SYNC__1000 modify gen_egress_sub[3]_u_s2a_hs_h_76_egress_sub chip.rrc.fabric.egress.EGRESS.1000 egress nil
EGRESS_SUB[4]  chip__rrc__fabric__modify__mod_sync__MOD_SYNC__1000 modify gen_egress_sub[4]_u_s2a_hs_h_76_egress_sub chip.rrc.fabric.egress.EGRESS.1000 egress nil
EGRESS_SUB[5]  chip__rrc__fabric__modify__mod_sync__MOD_SYNC__1000 modify gen_egress_sub[5]_u_s2a_hs_h_76_egress_sub chip.rrc.fabric.egress.EGRESS.1000 egress nil
EGRESS_SUB[6]  chip__rrc__fabric__modify__mod_sync__MOD_SYNC__1000 modify gen_egress_sub[6]_u_s2a_hs_h_76_egress_sub chip.rrc.fabric.egress.EGRESS.1000 egress nil
EGRESS_SUB[7]  chip__rrc__fabric__modify__mod_sync__MOD_SYNC__1000 modify gen_egress_sub[7]_u_s2a_hs_h_76_egress_sub chip.rrc.fabric.egress.EGRESS.1000 egress nil
