Module Name,Unit,Block Name,Ports,Inferred Type,Freq[Mhz],Lines,Width,Protection,Total Signature Bits,Write Segment Size,Instantiations,Init,Interleaving,Protection Resolution,Write Segment W/O Signature Size,Width W/O Signature,Type,Words|Number of Rules, Bits/Word,Bit Enable|Slice Enable,Folded,Column Mux,Redundancy,Rows,Columns,Total Instances,Name
mem_igr_pb2_data_ram_shell_1024x576,igr_pb2_data_ram,igr,1rw,SRAM,1225,1024,576,None,0,576,4,No,1,,576,576,SRAM,1024,72,1,1,4,0,1,8,32,saduls0g4l1p1024x72m4b4w0c0p0d0l2rm3sdrw03
mem_igr_pb3_data_ram_shell_1024x576,igr_pb3_data_ram,igr,1rw,SRAM,1225,1024,576,None,0,576,4,No,1,,576,576,SRAM,1024,72,1,1,4,0,1,8,32,saduls0g4l1p1024x72m4b4w0c0p0d0l2rm3sdrw04
mem_igr_pb0_md_ram_shell_1024x72,igr_pb0_md_ram,igr,1rw,SRAM,1225,1024,72,None,0,72,4,No,1,,72,72,SRAM,1024,72,1,1,4,0,1,1,4,saduls0g4l1p1024x72m4b4w0c0p0d0l2rm3sdrw01
mem_igr_pb1_md_ram_shell_1024x72,igr_pb1_md_ram,igr,1rw,SRAM,1225,1024,72,None,0,72,4,No,1,,72,72,SRAM,1024,72,1,1,4,0,1,1,4,saduls0g4l1p1024x72m4b4w0c0p0d0l2rm3sdrw02
mem_igr_pb2_md_ram_shell_1024x72,igr_pb2_md_ram,igr,1rw,SRAM,1225,1024,72,None,0,72,4,No,1,,72,72,SRAM,1024,72,1,1,4,0,1,1,4,saduls0g4l1p1024x72m4b4w0c0p0d0l2rm3sdrw03
mem_igr_pb3_md_ram_shell_1024x72,igr_pb3_md_ram,igr,1rw,SRAM,1225,1024,72,None,0,72,4,No,1,,72,72,SRAM,1024,72,1,1,4,0,1,1,4,saduls0g4l1p1024x72m4b4w0c0p0d0l2rm3sdrw04
mem_igr_md_ram_shell_1024x104,igr_md_ram,igr,1rw,SRAM,1225,1024,104,None,0,104,32,No,1,,104,104,SRAM,1024,,0,0,0,0,1,1,1,
mem_igr_mesh_fifo_ram_shell_512x72,igr_mesh_fifo_ram,igr,1r1w,RF,1225,512,72,None,0,72,64,No,1,,72,72,RF,512,,0,0,0,0,1,1,1,
mem_igr_mesh_queue_ram_shell_32x72,igr_mesh_queue_ram,igr,1r1w,FLOPS,1225,32,72,None,0,72,16,No,1,,72,72,FLOPS,32,,0,0,0,0,1,1,1,
mem_igr_post_merge_ram_shell_192x80,igr_post_merge_ram,igr,1r1w,RF,1225,192,80,None,0,80,10,No,1,,80,80,RF,192,,0,0,0,0,1,1,1,
