0 4 [0,sz=4]port 0 not in idle slot
1 4 [1,sz=4]port 1 not in idle slot
2 4 [2,sz=4]port 2 not in idle slot
3 4 [3,sz=4]port 3 not in idle slot
4 4 [4,sz=4]port 4 not in idle slot
5 4 [5,sz=4]port 5 not in idle slot
6 4 [6,sz=4]port 6 not in idle slot
7 4 [7,sz=4]port 7 not in idle slot
8 4 [8,sz=4]port 8 not in idle slot
9 84 [9,sz=84]port appears in schedule 0
10 20 [10,sz=20]no underrun 0
11 6 [11,sz=6]min rep rate (port 0) = 1
12 6 [12,sz=6]min rep rate (port 0) = 2
13 6 [13,sz=6]min rep rate (port 0) = 3
14 20 [14,sz=20]no underrun 0
15 6 [15,sz=6]min rep rate (port 0) = 1
16 6 [16,sz=6]min rep rate (port 0) = 2
17 6 [17,sz=6]min rep rate (port 0) = 3
18 20 [18,sz=20]no underrun 0
19 6 [19,sz=6]min rep rate (port 0) = 1
20 6 [20,sz=6]min rep rate (port 0) = 2
21 6 [21,sz=6]min rep rate (port 0) = 3
22 20 [22,sz=20]no underrun 0
23 6 [23,sz=6]min rep rate (port 0) = 1
24 6 [24,sz=6]min rep rate (port 0) = 2
25 6 [25,sz=6]min rep rate (port 0) = 3
26 20 [26,sz=20]no underrun 0
27 6 [27,sz=6]min rep rate (port 0) = 1
28 6 [28,sz=6]min rep rate (port 0) = 2
29 6 [29,sz=6]min rep rate (port 0) = 3
30 20 [30,sz=20]no underrun 0
31 6 [31,sz=6]min rep rate (port 0) = 1
32 6 [32,sz=6]min rep rate (port 0) = 2
33 6 [33,sz=6]min rep rate (port 0) = 3
34 20 [34,sz=20]no underrun 0
35 6 [35,sz=6]min rep rate (port 0) = 1
36 6 [36,sz=6]min rep rate (port 0) = 2
37 6 [37,sz=6]min rep rate (port 0) = 3
38 20 [38,sz=20]no underrun 0
39 6 [39,sz=6]min rep rate (port 0) = 1
40 6 [40,sz=6]min rep rate (port 0) = 2
41 6 [41,sz=6]min rep rate (port 0) = 3
42 20 [42,sz=20]no underrun 0
43 6 [43,sz=6]min rep rate (port 0) = 1
44 6 [44,sz=6]min rep rate (port 0) = 2
45 6 [45,sz=6]min rep rate (port 0) = 3
46 20 [46,sz=20]no underrun 0
47 6 [47,sz=6]min rep rate (port 0) = 1
48 6 [48,sz=6]min rep rate (port 0) = 2
49 6 [49,sz=6]min rep rate (port 0) = 3
50 20 [50,sz=20]no underrun 0
51 6 [51,sz=6]min rep rate (port 0) = 1
52 6 [52,sz=6]min rep rate (port 0) = 2
53 6 [53,sz=6]min rep rate (port 0) = 3
54 20 [54,sz=20]no underrun 0
55 6 [55,sz=6]min rep rate (port 0) = 1
56 6 [56,sz=6]min rep rate (port 0) = 2
57 6 [57,sz=6]min rep rate (port 0) = 3
58 20 [58,sz=20]no underrun 0
59 6 [59,sz=6]min rep rate (port 0) = 1
60 6 [60,sz=6]min rep rate (port 0) = 2
61 6 [61,sz=6]min rep rate (port 0) = 3
62 20 [62,sz=20]no underrun 0
63 6 [63,sz=6]min rep rate (port 0) = 1
64 6 [64,sz=6]min rep rate (port 0) = 2
65 6 [65,sz=6]min rep rate (port 0) = 3
66 20 [66,sz=20]no underrun 0
67 6 [67,sz=6]min rep rate (port 0) = 1
68 6 [68,sz=6]min rep rate (port 0) = 2
69 6 [69,sz=6]min rep rate (port 0) = 3
70 20 [70,sz=20]no underrun 0
71 6 [71,sz=6]min rep rate (port 0) = 1
72 6 [72,sz=6]min rep rate (port 0) = 2
73 6 [73,sz=6]min rep rate (port 0) = 3
74 20 [74,sz=20]no underrun 0
75 6 [75,sz=6]min rep rate (port 0) = 1
76 6 [76,sz=6]min rep rate (port 0) = 2
77 6 [77,sz=6]min rep rate (port 0) = 3
78 20 [78,sz=20]no underrun 0
79 6 [79,sz=6]min rep rate (port 0) = 1
80 6 [80,sz=6]min rep rate (port 0) = 2
81 6 [81,sz=6]min rep rate (port 0) = 3
82 20 [82,sz=20]no underrun 0
83 6 [83,sz=6]min rep rate (port 0) = 1
84 6 [84,sz=6]min rep rate (port 0) = 2
85 6 [85,sz=6]min rep rate (port 0) = 3
86 20 [86,sz=20]no underrun 0
87 6 [87,sz=6]min rep rate (port 0) = 1
88 6 [88,sz=6]min rep rate (port 0) = 2
89 6 [89,sz=6]min rep rate (port 0) = 3
90 20 [90,sz=20]no underrun 0
91 6 [91,sz=6]min rep rate (port 0) = 1
92 6 [92,sz=6]min rep rate (port 0) = 2
93 6 [93,sz=6]min rep rate (port 0) = 3
94 20 [94,sz=20]no underrun 0
95 6 [95,sz=6]min rep rate (port 0) = 1
96 6 [96,sz=6]min rep rate (port 0) = 2
97 6 [97,sz=6]min rep rate (port 0) = 3
98 20 [98,sz=20]no underrun 0
99 6 [99,sz=6]min rep rate (port 0) = 1
100 6 [100,sz=6]min rep rate (port 0) = 2
101 6 [101,sz=6]min rep rate (port 0) = 3
102 20 [102,sz=20]no underrun 0
103 6 [103,sz=6]min rep rate (port 0) = 1
104 6 [104,sz=6]min rep rate (port 0) = 2
105 6 [105,sz=6]min rep rate (port 0) = 3
106 20 [106,sz=20]no underrun 0
107 6 [107,sz=6]min rep rate (port 0) = 1
108 6 [108,sz=6]min rep rate (port 0) = 2
109 6 [109,sz=6]min rep rate (port 0) = 3
110 20 [110,sz=20]no underrun 0
111 6 [111,sz=6]min rep rate (port 0) = 1
112 6 [112,sz=6]min rep rate (port 0) = 2
113 6 [113,sz=6]min rep rate (port 0) = 3
114 20 [114,sz=20]no underrun 0
115 6 [115,sz=6]min rep rate (port 0) = 1
116 6 [116,sz=6]min rep rate (port 0) = 2
117 6 [117,sz=6]min rep rate (port 0) = 3
118 20 [118,sz=20]no underrun 0
119 6 [119,sz=6]min rep rate (port 0) = 1
120 6 [120,sz=6]min rep rate (port 0) = 2
121 6 [121,sz=6]min rep rate (port 0) = 3
122 20 [122,sz=20]no underrun 0
123 6 [123,sz=6]min rep rate (port 0) = 1
124 6 [124,sz=6]min rep rate (port 0) = 2
125 6 [125,sz=6]min rep rate (port 0) = 3
126 20 [126,sz=20]no underrun 0
127 6 [127,sz=6]min rep rate (port 0) = 1
128 6 [128,sz=6]min rep rate (port 0) = 2
129 6 [129,sz=6]min rep rate (port 0) = 3
130 20 [130,sz=20]no underrun 0
131 6 [131,sz=6]min rep rate (port 0) = 1
132 6 [132,sz=6]min rep rate (port 0) = 2
133 6 [133,sz=6]min rep rate (port 0) = 3
134 20 [134,sz=20]no underrun 0
135 6 [135,sz=6]min rep rate (port 0) = 1
136 6 [136,sz=6]min rep rate (port 0) = 2
137 6 [137,sz=6]min rep rate (port 0) = 3
138 20 [138,sz=20]no underrun 0
139 6 [139,sz=6]min rep rate (port 0) = 1
140 6 [140,sz=6]min rep rate (port 0) = 2
141 6 [141,sz=6]min rep rate (port 0) = 3
142 20 [142,sz=20]no underrun 0
143 6 [143,sz=6]min rep rate (port 0) = 1
144 6 [144,sz=6]min rep rate (port 0) = 2
145 6 [145,sz=6]min rep rate (port 0) = 3
146 20 [146,sz=20]no underrun 0
147 6 [147,sz=6]min rep rate (port 0) = 1
148 6 [148,sz=6]min rep rate (port 0) = 2
149 6 [149,sz=6]min rep rate (port 0) = 3
150 20 [150,sz=20]no underrun 0
151 6 [151,sz=6]min rep rate (port 0) = 1
152 6 [152,sz=6]min rep rate (port 0) = 2
153 6 [153,sz=6]min rep rate (port 0) = 3
154 20 [154,sz=20]no underrun 0
155 6 [155,sz=6]min rep rate (port 0) = 1
156 6 [156,sz=6]min rep rate (port 0) = 2
157 6 [157,sz=6]min rep rate (port 0) = 3
158 20 [158,sz=20]no underrun 0
159 6 [159,sz=6]min rep rate (port 0) = 1
160 6 [160,sz=6]min rep rate (port 0) = 2
161 6 [161,sz=6]min rep rate (port 0) = 3
162 20 [162,sz=20]no underrun 0
163 6 [163,sz=6]min rep rate (port 0) = 1
164 6 [164,sz=6]min rep rate (port 0) = 2
165 6 [165,sz=6]min rep rate (port 0) = 3
166 20 [166,sz=20]no underrun 0
167 6 [167,sz=6]min rep rate (port 0) = 1
168 6 [168,sz=6]min rep rate (port 0) = 2
169 6 [169,sz=6]min rep rate (port 0) = 3
170 20 [170,sz=20]no underrun 0
171 6 [171,sz=6]min rep rate (port 0) = 1
172 6 [172,sz=6]min rep rate (port 0) = 2
173 6 [173,sz=6]min rep rate (port 0) = 3
174 22 [174,sz=22]no underrun 0
175 6 [175,sz=6]min rep rate (port 0) = 1
176 6 [176,sz=6]min rep rate (port 0) = 2
177 6 [177,sz=6]min rep rate (port 0) = 3
178 6 [178,sz=6]sp=0 ruling out slots (0 and 1)
179 6 [179,sz=6]sp=0 ruling out slots (0 and 2)
180 6 [180,sz=6]sp=0 ruling out slots (0 and 3)
181 6 [181,sz=6]sp=0 ruling out slots (1 and 2)
182 6 [182,sz=6]sp=0 ruling out slots (1 and 3)
183 6 [183,sz=6]sp=0 ruling out slots (1 and 4)
184 6 [184,sz=6]sp=0 ruling out slots (2 and 3)
185 6 [185,sz=6]sp=0 ruling out slots (2 and 4)
186 6 [186,sz=6]sp=0 ruling out slots (2 and 5)
187 6 [187,sz=6]sp=0 ruling out slots (3 and 4)
188 6 [188,sz=6]sp=0 ruling out slots (3 and 5)
189 6 [189,sz=6]sp=0 ruling out slots (3 and 6)
190 6 [190,sz=6]sp=0 ruling out slots (4 and 5)
191 6 [191,sz=6]sp=0 ruling out slots (4 and 6)
192 6 [192,sz=6]sp=0 ruling out slots (4 and 7)
193 6 [193,sz=6]sp=0 ruling out slots (5 and 6)
194 6 [194,sz=6]sp=0 ruling out slots (5 and 7)
195 6 [195,sz=6]sp=0 ruling out slots (5 and 8)
196 6 [196,sz=6]sp=0 ruling out slots (6 and 7)
197 6 [197,sz=6]sp=0 ruling out slots (6 and 8)
198 6 [198,sz=6]sp=0 ruling out slots (6 and 9)
199 6 [199,sz=6]sp=0 ruling out slots (7 and 8)
200 6 [200,sz=6]sp=0 ruling out slots (7 and 9)
201 6 [201,sz=6]sp=0 ruling out slots (7 and 10)
202 6 [202,sz=6]sp=0 ruling out slots (8 and 9)
203 6 [203,sz=6]sp=0 ruling out slots (8 and 10)
204 6 [204,sz=6]sp=0 ruling out slots (8 and 11)
205 6 [205,sz=6]sp=0 ruling out slots (9 and 10)
206 6 [206,sz=6]sp=0 ruling out slots (9 and 11)
207 6 [207,sz=6]sp=0 ruling out slots (9 and 12)
208 6 [208,sz=6]sp=0 ruling out slots (10 and 11)
209 6 [209,sz=6]sp=0 ruling out slots (10 and 12)
210 6 [210,sz=6]sp=0 ruling out slots (10 and 13)
211 6 [211,sz=6]sp=0 ruling out slots (11 and 12)
212 6 [212,sz=6]sp=0 ruling out slots (11 and 13)
213 6 [213,sz=6]sp=0 ruling out slots (11 and 14)
214 6 [214,sz=6]sp=0 ruling out slots (12 and 13)
215 6 [215,sz=6]sp=0 ruling out slots (12 and 14)
216 6 [216,sz=6]sp=0 ruling out slots (12 and 15)
217 6 [217,sz=6]sp=0 ruling out slots (13 and 14)
218 6 [218,sz=6]sp=0 ruling out slots (13 and 15)
219 6 [219,sz=6]sp=0 ruling out slots (13 and 16)
220 6 [220,sz=6]sp=0 ruling out slots (14 and 15)
221 6 [221,sz=6]sp=0 ruling out slots (14 and 16)
222 6 [222,sz=6]sp=0 ruling out slots (14 and 17)
223 6 [223,sz=6]sp=0 ruling out slots (15 and 16)
224 6 [224,sz=6]sp=0 ruling out slots (15 and 17)
225 6 [225,sz=6]sp=0 ruling out slots (15 and 18)
226 6 [226,sz=6]sp=0 ruling out slots (16 and 17)
227 6 [227,sz=6]sp=0 ruling out slots (16 and 18)
228 6 [228,sz=6]sp=0 ruling out slots (16 and 19)
229 6 [229,sz=6]sp=0 ruling out slots (17 and 18)
230 6 [230,sz=6]sp=0 ruling out slots (17 and 19)
231 6 [231,sz=6]sp=0 ruling out slots (17 and 20)
232 6 [232,sz=6]sp=0 ruling out slots (18 and 19)
233 6 [233,sz=6]sp=0 ruling out slots (18 and 20)
234 6 [234,sz=6]sp=0 ruling out slots (18 and 21)
235 6 [235,sz=6]sp=0 ruling out slots (19 and 20)
236 6 [236,sz=6]sp=0 ruling out slots (19 and 21)
237 6 [237,sz=6]sp=0 ruling out slots (19 and 22)
238 6 [238,sz=6]sp=0 ruling out slots (20 and 21)
239 6 [239,sz=6]sp=0 ruling out slots (20 and 22)
240 6 [240,sz=6]sp=0 ruling out slots (20 and 23)
241 6 [241,sz=6]sp=0 ruling out slots (21 and 22)
242 6 [242,sz=6]sp=0 ruling out slots (21 and 23)
243 6 [243,sz=6]sp=0 ruling out slots (21 and 24)
244 6 [244,sz=6]sp=0 ruling out slots (22 and 23)
245 6 [245,sz=6]sp=0 ruling out slots (22 and 24)
246 6 [246,sz=6]sp=0 ruling out slots (22 and 25)
247 6 [247,sz=6]sp=0 ruling out slots (23 and 24)
248 6 [248,sz=6]sp=0 ruling out slots (23 and 25)
249 6 [249,sz=6]sp=0 ruling out slots (23 and 26)
250 6 [250,sz=6]sp=0 ruling out slots (24 and 25)
251 6 [251,sz=6]sp=0 ruling out slots (24 and 26)
252 6 [252,sz=6]sp=0 ruling out slots (24 and 27)
253 6 [253,sz=6]sp=0 ruling out slots (25 and 26)
254 6 [254,sz=6]sp=0 ruling out slots (25 and 27)
255 6 [255,sz=6]sp=0 ruling out slots (25 and 28)
256 6 [256,sz=6]sp=0 ruling out slots (26 and 27)
257 6 [257,sz=6]sp=0 ruling out slots (26 and 28)
258 6 [258,sz=6]sp=0 ruling out slots (26 and 29)
259 6 [259,sz=6]sp=0 ruling out slots (27 and 28)
260 6 [260,sz=6]sp=0 ruling out slots (27 and 29)
261 6 [261,sz=6]sp=0 ruling out slots (27 and 30)
262 6 [262,sz=6]sp=0 ruling out slots (28 and 29)
263 6 [263,sz=6]sp=0 ruling out slots (28 and 30)
264 6 [264,sz=6]sp=0 ruling out slots (28 and 31)
265 6 [265,sz=6]sp=0 ruling out slots (29 and 30)
266 6 [266,sz=6]sp=0 ruling out slots (29 and 31)
267 6 [267,sz=6]sp=0 ruling out slots (29 and 32)
268 6 [268,sz=6]sp=0 ruling out slots (30 and 31)
269 6 [269,sz=6]sp=0 ruling out slots (30 and 32)
270 6 [270,sz=6]sp=0 ruling out slots (30 and 33)
271 6 [271,sz=6]sp=0 ruling out slots (31 and 32)
272 6 [272,sz=6]sp=0 ruling out slots (31 and 33)
273 6 [273,sz=6]sp=0 ruling out slots (31 and 34)
274 6 [274,sz=6]sp=0 ruling out slots (32 and 33)
275 6 [275,sz=6]sp=0 ruling out slots (32 and 34)
276 6 [276,sz=6]sp=0 ruling out slots (32 and 35)
277 6 [277,sz=6]sp=0 ruling out slots (33 and 34)
278 6 [278,sz=6]sp=0 ruling out slots (33 and 35)
279 6 [279,sz=6]sp=0 ruling out slots (33 and 36)
280 6 [280,sz=6]sp=0 ruling out slots (34 and 35)
281 6 [281,sz=6]sp=0 ruling out slots (34 and 36)
282 6 [282,sz=6]sp=0 ruling out slots (34 and 37)
